,name,date,pageviews
117,Peering,201709,6084.0
118,Peering,201710,7090.0
119,Peering,201711,9019.0
120,Peering,201712,9211.0
121,Peering,201801,7252.0
122,Peering,201802,6191.0
123,Peering,201803,6855.0
124,Peering,201804,6254.0
125,Peering,201805,6265.0
126,Peering,201806,7197.0
0,Encryption,200712,27244.0
1,Encryption,200801,47194.0
2,Encryption,200802,49234.0
3,Encryption,200803,51586.0
4,Encryption,200804,57769.0
5,Encryption,200805,56701.0
6,Encryption,200806,50926.0
7,Encryption,200807,49665.0
8,Encryption,200808,48972.0
9,Encryption,200809,53681.0
10,Encryption,200810,57132.0
11,Encryption,200811,56913.0
12,Encryption,200812,52261.0
13,Encryption,200901,56928.0
14,Encryption,200902,58782.0
15,Encryption,200903,67142.0
16,Encryption,200904,59834.0
17,Encryption,200905,59124.0
18,Encryption,200906,53456.0
19,Encryption,200907,50598.0
20,Encryption,200908,52757.0
21,Encryption,200909,58411.0
22,Encryption,200910,59400.0
23,Encryption,200911,62268.0
24,Encryption,200912,53070.0
25,Encryption,201001,53761.0
26,Encryption,201002,54061.0
27,Encryption,201003,63242.0
28,Encryption,201004,60510.0
29,Encryption,201005,56244.0
30,Encryption,201006,39471.0
31,Encryption,201007,42211.0
32,Encryption,201008,67151.0
33,Encryption,201009,66506.0
34,Encryption,201010,71673.0
35,Encryption,201011,68069.0
36,Encryption,201012,75797.0
37,Encryption,201101,73179.0
38,Encryption,201102,56345.0
39,Encryption,201103,61435.0
40,Encryption,201104,55407.0
41,Encryption,201105,59070.0
42,Encryption,201106,51219.0
43,Encryption,201107,48364.0
44,Encryption,201108,47250.0
45,Encryption,201109,45383.0
46,Encryption,201110,54320.0
47,Encryption,201111,58831.0
48,Encryption,201112,51106.0
49,Encryption,201201,58212.0
50,Encryption,201202,59684.0
51,Encryption,201203,58717.0
52,Encryption,201204,53179.0
53,Encryption,201205,55951.0
54,Encryption,201206,53063.0
55,Encryption,201207,53480.0
56,Encryption,201208,55354.0
57,Encryption,201209,59997.0
58,Encryption,201210,68735.0
59,Encryption,201211,66755.0
60,Encryption,201212,58699.0
61,Encryption,201301,71404.0
62,Encryption,201302,73560.0
63,Encryption,201303,79786.0
64,Encryption,201304,80034.0
65,Encryption,201305,77037.0
66,Encryption,201306,76451.0
67,Encryption,201307,67009.0
68,Encryption,201308,59456.0
69,Encryption,201309,60788.0
70,Encryption,201310,70768.0
71,Encryption,201311,69110.0
72,Encryption,201312,56191.0
73,Encryption,201401,54909.0
74,Encryption,201402,56123.0
75,Encryption,201403,65477.0
76,Encryption,201404,58334.0
77,Encryption,201405,55402.0
78,Encryption,201406,46989.0
79,Encryption,201407,45832.0
80,Encryption,201408,45918.0
81,Encryption,201409,54807.0
82,Encryption,201410,49687.0
83,Encryption,201411,47208.0
