,name,date,month_edits
119,Malware,201106,34
120,Malware,201107,16
121,Malware,201108,13
122,Malware,201109,15
123,Malware,201110,6
124,Malware,201111,15
125,Malware,201112,23
126,Malware,201201,21
127,Malware,201202,39
128,Malware,201203,42
129,Malware,201204,14
130,Malware,201205,26
131,Malware,201206,30
132,Malware,201207,35
133,Malware,201208,22
134,Malware,201209,15
135,Malware,201210,9
136,Malware,201211,18
137,Malware,201212,28
138,Malware,201301,16
139,Malware,201302,84
140,Malware,201303,35
141,Malware,201304,22
142,Malware,201305,52
143,Malware,201306,8
144,Malware,201307,17
145,Malware,201308,15
146,Malware,201309,14
147,Malware,201310,27
148,Malware,201311,13
149,Malware,201312,25
150,Malware,201401,19
151,Malware,201402,21
152,Malware,201403,24
153,Malware,201404,16
154,Malware,201405,15
155,Malware,201406,5
156,Malware,201407,38
157,Malware,201408,28
158,Malware,201409,3
159,Malware,201410,27
160,Malware,201411,11
161,Malware,201412,31
162,Malware,201501,18
163,Malware,201502,21
164,Malware,201503,30
165,Malware,201504,17
166,Malware,201505,18
167,Malware,201506,21
168,Malware,201507,26
169,Malware,201508,27
170,Malware,201509,25
171,Malware,201510,5
172,Malware,201511,35
173,Malware,201512,15
174,Malware,201601,8
175,Malware,201602,11
176,Malware,201603,19
177,Malware,201604,3
178,Malware,201605,18
179,Malware,201606,7
180,Malware,201607,7
181,Malware,201608,14
182,Malware,201609,8
183,Malware,201610,11
184,Malware,201611,28
185,Malware,201612,13
186,Malware,201701,18
187,Malware,201702,10
188,Malware,201703,14
189,Malware,201704,7
190,Malware,201705,6
191,Malware,201706,53
192,Malware,201707,18
193,Malware,201708,8
194,Malware,201709,15
195,Malware,201710,19
196,Malware,201711,14
197,Malware,201712,10
198,Malware,201801,4
199,Malware,201802,9
200,Malware,201803,7
201,Malware,201804,14
202,Malware,201805,6
203,Malware,201806,17
204,Malware,201807,14
0,Latency_(engineering),200107,0
1,Latency_(engineering),200108,0
2,Latency_(engineering),200109,0
3,Latency_(engineering),200110,1
4,Latency_(engineering),200111,0
5,Latency_(engineering),200112,0
6,Latency_(engineering),200201,1
7,Latency_(engineering),200202,1
8,Latency_(engineering),200203,0
9,Latency_(engineering),200204,0
10,Latency_(engineering),200205,0
11,Latency_(engineering),200206,0
12,Latency_(engineering),200207,0
13,Latency_(engineering),200208,0
14,Latency_(engineering),200209,1
15,Latency_(engineering),200210,0
16,Latency_(engineering),200211,0
17,Latency_(engineering),200212,0
18,Latency_(engineering),200301,1
19,Latency_(engineering),200302,0
20,Latency_(engineering),200303,0
21,Latency_(engineering),200304,0
22,Latency_(engineering),200305,0
23,Latency_(engineering),200306,0
24,Latency_(engineering),200307,1
25,Latency_(engineering),200308,3
26,Latency_(engineering),200309,0
27,Latency_(engineering),200310,0
28,Latency_(engineering),200311,0
29,Latency_(engineering),200312,6
30,Latency_(engineering),200401,0
31,Latency_(engineering),200402,0
32,Latency_(engineering),200403,1
33,Latency_(engineering),200404,2
34,Latency_(engineering),200405,2
35,Latency_(engineering),200406,0
36,Latency_(engineering),200407,1
37,Latency_(engineering),200408,2
38,Latency_(engineering),200409,1
39,Latency_(engineering),200410,1
