date,hits,keyword,geo,gprop,category
2004-06-01,47,Intelligent environment,world,web,0
2004-07-01,66,Intelligent environment,world,web,0
2004-08-01,31,Intelligent environment,world,web,0
2004-09-01,28,Intelligent environment,world,web,0
2004-10-01,72,Intelligent environment,world,web,0
2004-11-01,100,Intelligent environment,world,web,0
2004-12-01,27,Intelligent environment,world,web,0
2005-01-01,71,Intelligent environment,world,web,0
2005-02-01,37,Intelligent environment,world,web,0
2005-03-01,62,Intelligent environment,world,web,0
2005-04-01,70,Intelligent environment,world,web,0
2005-05-01,30,Intelligent environment,world,web,0
2005-06-01,41,Intelligent environment,world,web,0
2005-07-01,31,Intelligent environment,world,web,0
2005-08-01,20,Intelligent environment,world,web,0
2005-09-01,55,Intelligent environment,world,web,0
2005-10-01,43,Intelligent environment,world,web,0
2005-11-01,51,Intelligent environment,world,web,0
2005-12-01,17,Intelligent environment,world,web,0
2006-01-01,37,Intelligent environment,world,web,0
2006-02-01,15,Intelligent environment,world,web,0
2006-03-01,65,Intelligent environment,world,web,0
2006-04-01,49,Intelligent environment,world,web,0
2006-05-01,45,Intelligent environment,world,web,0
2006-06-01,20,Intelligent environment,world,web,0
2006-07-01,40,Intelligent environment,world,web,0
2006-08-01,31,Intelligent environment,world,web,0
2006-09-01,48,Intelligent environment,world,web,0
2006-10-01,11,Intelligent environment,world,web,0
2006-11-01,21,Intelligent environment,world,web,0
2006-12-01,22,Intelligent environment,world,web,0
2007-01-01,14,Intelligent environment,world,web,0
2007-02-01,35,Intelligent environment,world,web,0
2007-03-01,31,Intelligent environment,world,web,0
2007-04-01,45,Intelligent environment,world,web,0
2007-05-01,20,Intelligent environment,world,web,0
2007-06-01,32,Intelligent environment,world,web,0
2007-07-01,24,Intelligent environment,world,web,0
2007-08-01,8,Intelligent environment,world,web,0
2007-09-01,26,Intelligent environment,world,web,0
2007-10-01,26,Intelligent environment,world,web,0
2007-11-01,19,Intelligent environment,world,web,0
2007-12-01,24,Intelligent environment,world,web,0
2008-01-01,30,Intelligent environment,world,web,0
2008-02-01,31,Intelligent environment,world,web,0
2008-03-01,32,Intelligent environment,world,web,0
2008-04-01,11,Intelligent environment,world,web,0
2008-05-01,28,Intelligent environment,world,web,0
2008-06-01,20,Intelligent environment,world,web,0
2008-07-01,8,Intelligent environment,world,web,0
2008-08-01,34,Intelligent environment,world,web,0
2008-09-01,21,Intelligent environment,world,web,0
2008-10-01,16,Intelligent environment,world,web,0
2008-11-01,12,Intelligent environment,world,web,0
2008-12-01,25,Intelligent environment,world,web,0
2009-01-01,5,Intelligent environment,world,web,0
2009-02-01,19,Intelligent environment,world,web,0
2009-03-01,21,Intelligent environment,world,web,0
2009-04-01,26,Intelligent environment,world,web,0
2009-05-01,33,Intelligent environment,world,web,0
2009-06-01,17,Intelligent environment,world,web,0
2009-07-01,12,Intelligent environment,world,web,0
2009-08-01,8,Intelligent environment,world,web,0
2009-09-01,21,Intelligent environment,world,web,0
2009-10-01,15,Intelligent environment,world,web,0
2009-11-01,13,Intelligent environment,world,web,0
2009-12-01,11,Intelligent environment,world,web,0
2010-01-01,17,Intelligent environment,world,web,0
2010-02-01,16,Intelligent environment,world,web,0
2010-03-01,16,Intelligent environment,world,web,0
2010-04-01,15,Intelligent environment,world,web,0
2010-05-01,20,Intelligent environment,world,web,0
2010-06-01,17,Intelligent environment,world,web,0
2010-07-01,13,Intelligent environment,world,web,0
2010-08-01,14,Intelligent environment,world,web,0
2010-09-01,12,Intelligent environment,world,web,0
2010-10-01,24,Intelligent environment,world,web,0
2010-11-01,16,Intelligent environment,world,web,0
2010-12-01,15,Intelligent environment,world,web,0
2011-01-01,20,Intelligent environment,world,web,0
2011-02-01,21,Intelligent environment,world,web,0
2011-03-01,12,Intelligent environment,world,web,0
2011-04-01,17,Intelligent environment,world,web,0
2011-05-01,18,Intelligent environment,world,web,0
2011-06-01,15,Intelligent environment,world,web,0
2011-07-01,16,Intelligent environment,world,web,0
2011-08-01,15,Intelligent environment,world,web,0
2011-09-01,20,Intelligent environment,world,web,0
2011-10-01,15,Intelligent environment,world,web,0
2011-11-01,18,Intelligent environment,world,web,0
2011-12-01,14,Intelligent environment,world,web,0
2012-01-01,19,Intelligent environment,world,web,0
2012-02-01,13,Intelligent environment,world,web,0
2012-03-01,14,Intelligent environment,world,web,0
2012-04-01,15,Intelligent environment,world,web,0
2012-05-01,18,Intelligent environment,world,web,0
2012-06-01,11,Intelligent environment,world,web,0
2012-07-01,8,Intelligent environment,world,web,0
2012-08-01,13,Intelligent environment,world,web,0
2012-09-01,15,Intelligent environment,world,web,0
2012-10-01,15,Intelligent environment,world,web,0
2012-11-01,14,Intelligent environment,world,web,0
2012-12-01,11,Intelligent environment,world,web,0
2013-01-01,12,Intelligent environment,world,web,0
2013-02-01,14,Intelligent environment,world,web,0
2013-03-01,5,Intelligent environment,world,web,0
2013-04-01,12,Intelligent environment,world,web,0
2013-05-01,12,Intelligent environment,world,web,0
2013-06-01,9,Intelligent environment,world,web,0
2013-07-01,14,Intelligent environment,world,web,0
2013-08-01,13,Intelligent environment,world,web,0
2013-09-01,19,Intelligent environment,world,web,0
2013-10-01,15,Intelligent environment,world,web,0
2013-11-01,13,Intelligent environment,world,web,0
2013-12-01,8,Intelligent environment,world,web,0
2014-01-01,18,Intelligent environment,world,web,0
2014-02-01,10,Intelligent environment,world,web,0
2014-03-01,13,Intelligent environment,world,web,0
2014-04-01,11,Intelligent environment,world,web,0
2014-05-01,7,Intelligent environment,world,web,0
2014-06-01,11,Intelligent environment,world,web,0
2014-07-01,11,Intelligent environment,world,web,0
2014-08-01,10,Intelligent environment,world,web,0
2014-09-01,20,Intelligent environment,world,web,0
2014-10-01,10,Intelligent environment,world,web,0
2014-11-01,12,Intelligent environment,world,web,0
2014-12-01,10,Intelligent environment,world,web,0
2015-01-01,18,Intelligent environment,world,web,0
2015-02-01,13,Intelligent environment,world,web,0
2015-03-01,17,Intelligent environment,world,web,0
2015-04-01,14,Intelligent environment,world,web,0
2015-05-01,11,Intelligent environment,world,web,0
2015-06-01,8,Intelligent environment,world,web,0
2015-07-01,8,Intelligent environment,world,web,0
2015-08-01,9,Intelligent environment,world,web,0
2015-09-01,13,Intelligent environment,world,web,0
2015-10-01,10,Intelligent environment,world,web,0
2015-11-01,12,Intelligent environment,world,web,0
2015-12-01,12,Intelligent environment,world,web,0
2016-01-01,10,Intelligent environment,world,web,0
2016-02-01,17,Intelligent environment,world,web,0
2016-03-01,12,Intelligent environment,world,web,0
2016-04-01,17,Intelligent environment,world,web,0
2016-05-01,13,Intelligent environment,world,web,0
2016-06-01,13,Intelligent environment,world,web,0
2016-07-01,13,Intelligent environment,world,web,0
2016-08-01,12,Intelligent environment,world,web,0
2016-09-01,14,Intelligent environment,world,web,0
2016-10-01,12,Intelligent environment,world,web,0
2016-11-01,12,Intelligent environment,world,web,0
2016-12-01,12,Intelligent environment,world,web,0
2017-01-01,15,Intelligent environment,world,web,0
2017-02-01,9,Intelligent environment,world,web,0
2017-03-01,13,Intelligent environment,world,web,0
2017-04-01,15,Intelligent environment,world,web,0
2017-05-01,13,Intelligent environment,world,web,0
2017-06-01,8,Intelligent environment,world,web,0
2017-07-01,7,Intelligent environment,world,web,0
2017-08-01,8,Intelligent environment,world,web,0
2017-09-01,8,Intelligent environment,world,web,0
2017-10-01,12,Intelligent environment,world,web,0
2017-11-01,13,Intelligent environment,world,web,0
2017-12-01,11,Intelligent environment,world,web,0
2018-01-01,12,Intelligent environment,world,web,0
2018-02-01,16,Intelligent environment,world,web,0
2018-03-01,13,Intelligent environment,world,web,0
2018-04-01,13,Intelligent environment,world,web,0
2018-05-01,8,Intelligent environment,world,web,0
2018-06-01,16,Intelligent environment,world,web,0
2018-07-01,8,Intelligent environment,world,web,0
2018-08-01,15,Intelligent environment,world,web,0
2018-09-01,12,Intelligent environment,world,web,0
2018-10-01,10,Intelligent environment,world,web,0
2018-11-01,5,Intelligent environment,world,web,0
2004-01-01,89,Ad hoc network,world,web,0
2004-02-01,92,Ad hoc network,world,web,0
2004-03-01,93,Ad hoc network,world,web,0
2004-04-01,94,Ad hoc network,world,web,0
2004-05-01,79,Ad hoc network,world,web,0
2004-06-01,75,Ad hoc network,world,web,0
2004-07-01,92,Ad hoc network,world,web,0
2004-08-01,80,Ad hoc network,world,web,0
2004-09-01,98,Ad hoc network,world,web,0
2004-10-01,100,Ad hoc network,world,web,0
2004-11-01,91,Ad hoc network,world,web,0
2004-12-01,89,Ad hoc network,world,web,0
2005-01-01,74,Ad hoc network,world,web,0
2005-02-01,62,Ad hoc network,world,web,0
2005-03-01,84,Ad hoc network,world,web,0
2005-04-01,73,Ad hoc network,world,web,0
2005-05-01,61,Ad hoc network,world,web,0
2005-06-01,75,Ad hoc network,world,web,0
2005-07-01,63,Ad hoc network,world,web,0
2005-08-01,72,Ad hoc network,world,web,0
2005-09-01,68,Ad hoc network,world,web,0
2005-10-01,62,Ad hoc network,world,web,0
2005-11-01,52,Ad hoc network,world,web,0
2005-12-01,63,Ad hoc network,world,web,0
2006-01-01,55,Ad hoc network,world,web,0
2006-02-01,49,Ad hoc network,world,web,0
2006-03-01,62,Ad hoc network,world,web,0
2006-04-01,64,Ad hoc network,world,web,0
2006-05-01,63,Ad hoc network,world,web,0
2006-06-01,48,Ad hoc network,world,web,0
2006-07-01,42,Ad hoc network,world,web,0
2006-08-01,56,Ad hoc network,world,web,0
2006-09-01,52,Ad hoc network,world,web,0
